id,year,award,prefix,name,gender,place,state,stateClass,indiaClass,area,areaClass
1532,1981,Padma Shri,Dr.,Gurcharn Singh Kalkat,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
723,1969,Padma Shri,Shri,H. Govindrao Srinivasa Murthy,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
668,1969,Padma Vibhushan,Dr.,Hargobind Khorana,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3828,2012,Padma Shri,Prof.,Jagadish,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3892,2013,Padma Bhushan,Prof.,Jogesh Chandra Pati,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
2005,1990,Padma Bhushan,Dr.,Laxmangudi Krishnamurthy Doraiswamy,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3692,2011,Padma Shri,Dr.,Mani,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
4130,2015,Padma Bhushan,Prof.,Manjul,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
1148,1973,Padma Bhushan,Dr.,Om P. Bahl,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3606,2010,Padma Shri,Prof.,Ponisseril,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
2571,2001,Padma Bhushan,Dr.,Raj,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
1817,1986,Padma Bhushan,Dr.,S. Dillon Ripley,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3323,2008,Padma Shri,Dr.,Sant Singh Virmani,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
